city,state_id,state,county,lat,lng,population,density
Allen Park,MI,Michigan,Wayne,42.2595,-83.2107,28431,1495.3
Brownsburg,IN,Indiana,Hendricks,39.8337,-86.383,28420,630.4
Orchards,WA,Washington,Clark,45.689,-122.5306,28371,1896.2
Eagle Pass,TX,Texas,Maverick,28.7125,-100.484,28367,1201.1
Forest Hills,MI,Michigan,Kent,42.9577,-85.4895,28327,224.7
Bergenfield,NJ,New Jersey,Bergen,40.9236,-73.9982,28282,3639.5
Independence,KY,Kentucky,Kenton,38.951,-84.5492,28256,618.1
Enterprise,AL,Alabama,Coffee,31.3275,-85.8463,28242,351.3
Henderson,KY,Kentucky,Henderson,37.8397,-87.5798,28201,682.2
Glen Cove,NY,New York,Nassau,40.8709,-73.6287,28187,1575.7
Maryland Heights,MO,Missouri,St. Louis,38.7189,-90.4749,28141,476.4
